CONCEPTO,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,2018/19,2019/20,2020/21,2021/22
Prescolar,4847,5772,6683,7076,7393,8017,6813,6973,6933,6512,7087,6605,6640,6215,6116,7267,7398,9103,9469,9337,9140,9228,9378,9674,9628,9417,9107,9516,10259,10313,10718,23611,24126,23734,23292,23010,22032,20476,20843,20549,23088,24631 
Primaria ,77111,75273,73874,73216,71887,70962,74354,76161,76193,74225,78586,80223,78625,77735,76897,79341,83119,92991,93372,91036,93804,96301,96671,101557,108020,115494,110666,106930,106749,106429,107694
Media,103348,103794,107660,111645,112261,103833,100764,97713,89837,72242,73581,70104,71025,70476,71613,78973,83140,85552,90176,91974,93541,100969,97633,93406,95904,102091,102147,99535,97186,92374,88176 
Especial,12411,12939,13375,13829,15141,16197,16879,16296,15175,12366,12912,13486,13552,13485,14023,14417,14481,14612,14479,14412,14642,14955,14927,14914,15478,15951,15839,15703,15489,15382,15278   
Superior,19552,21573,22492,23364,24499,24668,24915,25726,24848,23340,22967,22574,21596,21573,21318,20753,22046,23657,24723,27986,32126,41425,52235,62288,62509,65489,53891,47355,44222,45490,43491

