CONCEPTO,1998,1999.0,2000.0,2001.0,2002,2003,2004.0,2005,2006.0,2007.0,2008.0,2009.0,2010.0,2011,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018,2019.0,2020.0,2021,2022
Primario o menos,189.4,194.8,186.3,164.6,155.2,129.7,130.5,115.8,107.6,82.7,85.7,69.0,64.6,55.9,23.6,46.6,44.2,42.3,36.4,37.5,33.4,33.7,34.47374153669397, -,22.56787349523566
Secundario,416.9,435.4,413.5,406.9,400.5,382.4,381.5,378,365.5,371.9,374.5,336.1,305.2,280.9,255.8,238.1,233.6,240.1,239.2,198.3,191.4,201.9,206.53556131330896, -,187.82831071785245
Medio superior,785.8,820.1,807.6,822.0,848.3,884.3,886.2,948.1,1006.5,1070.8,1086.7,1128.7,1156.4,1015.2,1051.1,1025.2,1007.2,927.9,872.6,881.8,893.4,964.1,986.2354366625123, -,907.3867581402138
Superior,281,259.4,292.6,303.1,306.6,323.2,325.8,321,329.3,361.607,365.9,400.3,427.1,524.3,539.8,596.3,623.1,600.3,599.5,576.9,571.5,612.4,626.4605138596852, -,625.1454806155581
